route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
820740,RTC,"74",,"Place Jacques-Cartier - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=74,013888,FFFFFF
820750,RTC,"75",,"Lebourgneuf - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=75,013888,FFFFFF
820770,RTC,"77",,"Terminus Les Saules - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=77,013888,FFFFFF
820790,RTC,"79",,"Terminus Les Saules / Belvédère - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=79,013888,FFFFFF
820800,RTC,"80",,"Place Jacques-Cartier - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=80,013888,FFFFFF
820810,RTC,"81",,"Terminus Les Saules - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=81,013888,FFFFFF
820820,RTC,"82",,"Place Jacques-Cartier - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=82,013888,FFFFFF
820840,RTC,"84",,"Place Jacques-Cartier - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=84,013888,FFFFFF
820850,RTC,"85",,"Place Jacques-Cartier - Lebourgneuf",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=85,013888,FFFFFF
820860,RTC,"86",,"Place J.-Cartier / colline Parlementaire - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=86,013888,FFFFFF
820870,RTC,"87",,"Sainte-Foy Centre - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=87,013888,FFFFFF
820920,RTC,"92",,"Sainte-Foy  Centre - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=92,013888,FFFFFF
820930,RTC,"93",,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau - Champigny",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=93,013888,FFFFFF
828004,RTC,"800",,"Beauport - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=800,97BF0D,000000
828014,RTC,"801",,"Charlesbourg - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=801,97BF0D,000000
828024,RTC,"802",,"Terminus Beauport - Station Belvédère",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=802,97BF0D,000000
828034,RTC,"803",,"Terminus Beauport - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=803,97BF0D,000000
829076,RTC,"907",,"Place D'Youville - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=907,1A171B,FFFFFF
829156,RTC,"915",,"null - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=915,1A171B,FFFFFF
