route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
820250,20161611multiint-0000001,47334560-20161611multiint-0000001,"Place D'Youville / Gare du Palais (Est)",,0,,02500339,2
820770,20161611multiint-0000001,47334876-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700191,2
820770,20161611multiint-0000001,47334881-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07700214,2
820870,20161611multiint-0000001,47335604-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700692,2
820740,20161611multiint-0000001,47335381-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820740,20161611multiint-0000001,47335375-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07400156,2
820870,20161611multiint-0000001,47335573-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700660,2
820870,20161611multiint-0000001,47335641-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820720,20161611multiint-0000001,47335335-20161611multiint-0000001,"Terminus Charlesbourg (Est)",,0,,07200075,2
820150,20161611multiint-0000001,47335078-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01500029,2
820150,20161611multiint-0000001,47335061-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01500027,2
820150,20161611multiint-0000001,47335079-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01500029,2
820150,20161611multiint-0000001,47335062-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01500027,2
820150,20161611multiint-0000001,47335080-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01500029,2
820810,20161611multiint-0000001,47335470-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100156,2
820870,20161611multiint-0000001,47335648-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335627-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820870,20161611multiint-0000001,47335652-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335629-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820870,20161611multiint-0000001,47335656-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335613-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820870,20161611multiint-0000001,47335572-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700660,2
820870,20161611multiint-0000001,47335639-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820720,20161611multiint-0000001,47335334-20161611multiint-0000001,"Terminus Charlesbourg (Est)",,0,,07200075,2
820720,20161611multiint-0000001,47335352-20161611multiint-0000001,"Loretteville (Ouest)",,1,,07200076,2
820870,20161611multiint-0000001,47335653-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335611-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700692,2
820740,20161611multiint-0000001,47335388-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820740,20161611multiint-0000001,47335373-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07400156,2
820740,20161611multiint-0000001,47335390-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820740,20161611multiint-0000001,47335370-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07400156,2
820740,20161611multiint-0000001,47335392-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820740,20161611multiint-0000001,47335372-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07400156,2
820870,20161611multiint-0000001,47335657-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820930,20161611multiint-0000001,47334894-20161611multiint-0000001,"Champigny (Nord)",,0,,09300294,2
820550,20161611multiint-0000001,47335270-20161611multiint-0000001,"Terminus Beauport (Sud)",,1,,05500341,2
820520,20161611multiint-0000001,47335147-20161611multiint-0000001,"Terminus Charlesbourg (Ouest)",,1,,05200163,2
820530,20161611multiint-0000001,47335163-20161611multiint-0000001,"Montmorency / Courville (Est)",,0,,05300214,2
820580,20161611multiint-0000001,47335292-20161611multiint-0000001,"Terminus Beauport (Sud)",,1,,05800179,2
820580,20161611multiint-0000001,47335291-20161611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800186,2
820820,20161611multiint-0000001,47334741-20161611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200296,2
820390,20161611multiint-0000001,47335108-20161611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,2
820390,20161611multiint-0000001,47335099-20161611multiint-0000001,"41e Rue Est (Sud)",,1,,03900044,2
820930,20161611multiint-0000001,47334901-20161611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
820930,20161611multiint-0000001,47334907-20161611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
820810,20161611multiint-0000001,47335474-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100156,2
820810,20161611multiint-0000001,47335492-20161611multiint-0000001,"Terminus du Zoo (Nord)",,0,,08100117,2
820370,20161611multiint-0000001,47334781-20161611multiint-0000001,"Terminus Charlesbourg / Jean-Talon Ouest (Nord)",,0,,03700265,2
820930,20161611multiint-0000001,47334906-20161611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
820870,20161611multiint-0000001,47335640-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820870,20161611multiint-0000001,47335592-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335644-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820610,20161611multiint-0000001,47334706-20161611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100128,2
820610,20161611multiint-0000001,47334678-20161611multiint-0000001,"41e Rue Est (Est)",,0,,06100127,2
820390,20161611multiint-0000001,47335115-20161611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,2
820390,20161611multiint-0000001,47335106-20161611multiint-0000001,"41e Rue Est (Sud)",,1,,03900044,2
820390,20161611multiint-0000001,47335116-20161611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,2
820390,20161611multiint-0000001,47335107-20161611multiint-0000001,"41e Rue Est (Sud)",,1,,03900044,2
820390,20161611multiint-0000001,47335120-20161611multiint-0000001,"Terminus du Zoo (Nord)",,0,,03900045,2
820320,20161611multiint-0000001,47334778-20161611multiint-0000001,"Lac Clément (Nord)",,0,,03200106,2
820320,20161611multiint-0000001,47334770-20161611multiint-0000001,"Terminus du Zoo (Sud)",,1,,03200105,2
820520,20161611multiint-0000001,47335144-20161611multiint-0000001,"Du Bourg-Royal (Est)",,0,,05200199,2
